step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,CASH_OUT,837.09,C1001164,47806.98,46969.89,C1000765,30478.01,31315.1,0,0
1,PAYMENT,86.15,C1000424,16290.05,16203.9,M2000296,87232.88,87319.03,0,0
1,CASH_IN,702.05,M2000082,341607.46,340905.41,C1000890,19425.74,20127.79,0,0
1,PAYMENT,257.9,C1000104,48386.81,48128.91,M2000289,225925.95,226183.85,0,0
1,CASH_IN,3813.46,M2000056,96893.24,93079.78,C1001054,46686.18,50499.64,0,0
1,PAYMENT,160.11,C1000514,47849.22,47689.11,M2000042,243093.82,243253.93,0,0
2,PAYMENT,275.64,C1000746,40294.84,40019.2,M2000221,164736.84,165012.48,0,0
2,CASH_IN,169.75,M2000135,68428.01,68258.26,C1000601,27112.99,27282.74,0,0
2,CASH_IN,285.37,M2000197,185903.54,185618.17,C1001492,34561.19,34846.56,0,0
2,PAYMENT,48.18,C1000962,15154.44,15106.26,M2000258,258962.76,259010.94,0,0
2,CASH_OUT,494.04,C1000953,41868.69,41374.65,C1000132,23970.5,24464.54,0,0
2,TRANSFER,374.96,C1000706,5099.65,4724.69,C1001175,12986.18,13361.14,0,0
2,TRANSFER,30264.83,C1000689,13192.5,0,C1000149,388858.19,419123.02,0,0
3,CASH_IN,639.19,M2000169,393714.24,393075.05,C1001405,9422.89,10062.08,0,0
3,CASH_IN,120.08,M2000104,374661.6,374541.52,C1000888,49372.34,49492.42,0,0
3,PAYMENT,151.88,C1000905,1402.37,1250.49,M2000234,227300.88,227452.76,0,0
3,TRANSFER,840.53,C1001028,37968.03,37127.5,C1000853,7754.1,8594.63,0,0
3,PAYMENT,473.09,C1000190,19234.23,18761.14,M2000018,153670.37,154143.46,0,0
3,CASH_IN,672.59,M2000115,445645.48,444972.89,C1000655,6584.05,7256.64,0,0
4,PAYMENT,263.22,C1001133,13533.28,13270.06,M2000219,238601.56,238864.78,0,0
5,DEBIT,1074.4,C1000075,14727.88,13653.48,M2000083,300992.73,302067.13,0,0
5,CASH_OUT,52.75,C1001389,45814.07,45761.32,C1000822,38534.03,38586.78,0,0
5,PAYMENT,453.49,C1001269,31721.83,31268.34,M2000098,117644.78,118098.27,0,0
5,PAYMENT,59.66,C1001001,40743.98,40684.32,M2000060,61254.11,61313.77,0,0
5,PAYMENT,85.17,C1001036,6463.54,6378.37,M2000006,214287.21,214372.38,0,0
5,PAYMENT,337.5,C1000682,3237.78,2900.28,M2000108,350900.01,351237.51,0,0
5,PAYMENT,91.37,C1000324,45347.18,45255.81,M2000129,166238.75,166330.12,0,0
5,TRANSFER,122.66,C1000382,11824.25,11701.59,C1001279,22315.6,22438.26,0,0
5,CASH_IN,163.08,M2000075,266244.81,266081.73,C1000591,6500.41,6663.49,0,0
5,TRANSFER,1296.14,C1000614,13075.8,11779.66,C1000362,11701.62,12997.76,0,0
5,TRANSFER,54484.59,C1000808,24387.53,0,C1000879,24050.14,24050.14,1,0
6,PAYMENT,533.59,C1000443,14150.8,13617.21,M2000262,135214.81,135748.4,0,0
6,CASH_IN,145.58,M2000283,331374.05,331228.47,C1000787,6195.55,6341.13,0,0
6,PAYMENT,9081.69,C1000069,18453.98,9372.29,M2000116,459156.09,468237.78,0,0
6,TRANSFER,395.01,C1000079,22957.27,22562.26,C1001203,24179.94,24574.95,0,0
7,PAYMENT,559.7,C1000688,21503.96,20944.26,M2000122,320789.41,321349.11,0,0
7,TRANSFER,2411.95,C1000706,5895.9,3483.95,C1000757,29301.16,31713.11,0,0
7,CASH_OUT,311.1,C1000838,26541.54,26230.44,C1000645,8287.64,8598.74,0,0
8,CASH_OUT,2399.38,C1000939,31242.13,28842.75,C1000071,18095.47,20494.85,0,0
8,CASH_OUT,448.65,C1000289,15099.42,14650.77,C1001493,9720.99,10169.64,0,0
8,PAYMENT,48.13,C1000612,37496.0,37447.87,M2000023,443046.74,443094.87,0,0
8,PAYMENT,1719.76,C1000521,12828.13,11108.37,M2000232,150105.57,151825.33,0,0
8,PAYMENT,364.44,C1001297,29893.72,29529.28,M2000228,288829.66,289194.1,0,0
8,TRANSFER,140.11,C1001024,16567.77,16427.66,C1001220,39558.26,39698.37,0,0
8,PAYMENT,753.36,C1000914,29326.53,28573.17,M2000256,56293.65,57047.01,0,0
8,CASH_IN,490.36,M2000056,93243.43,92753.07,C1000702,8931.2,9421.56,0,0
8,TRANSFER,301.91,C1000234,1835.69,1533.78,C1000755,29231.34,29533.25,0,0
9,CASH_OUT,99.73,C1000889,33556.64,33456.91,C1001001,40644.25,40743.98,0,0
9,PAYMENT,1497.18,C1000954,33776.55,32279.37,M2000186,493379.0,494876.18,0,0
9,TRANSFER,638.06,C1001447,4063.98,3425.92,C1000052,41216.89,41854.95,0,0
9,PAYMENT,122.88,C1000462,3386.46,3263.58,M2000163,347501.71,347624.59,0,0
10,PAYMENT,167.1,C1001397,48589.3,48422.2,M2000241,195318.99,195486.09,0,0
10,CASH_OUT,165.32,C1001460,48870.12,48704.8,C1001367,17736.27,17901.59,0,0
10,TRANSFER,1036.94,C1001400,23374.77,22337.83,C1000049,4326.53,5363.47,0,0
10,DEBIT,1987.64,C1000822,38586.78,36599.14,M2000161,126112.9,128100.54,0,0
10,PAYMENT,490.82,C1000171,50349.56,49858.74,M2000244,186353.66,186844.48,0,0
11,PAYMENT,656.25,C1000463,1432.61,776.36,M2000054,320459.75,321116.0,0,0
11,CASH_OUT,2340.58,C1000115,20321.91,17981.33,C1000000,4754.39,7094.97,0,0
11,TRANSFER,2016.03,C1000729,26477.48,24461.45,C1001427,40046.19,42062.22,0,0
11,TRANSFER,37.93,C1000477,12121.89,12083.96,C1001224,23712.61,23750.54,0,0
11,TRANSFER,2943.65,C1001377,20456.54,17512.89,C1000170,36229.44,39173.09,0,0
11,CASH_IN,678.17,M2000116,459834.26,459156.09,C1000176,18232.98,18911.15,0,0
11,CASH_OUT,78.36,C1000968,2624.82,2546.46,C1000494,6662.04,6740.4,0,0
11,TRANSFER,35079.37,C1000722,33846.26,0,C1001101,474133.55,474133.55,1,0
12,PAYMENT,385.2,C1000739,21299.07,20913.87,M2000034,207674.05,208059.25,0,0
12,PAYMENT,6512.02,C1001036,12975.56,6463.54,M2000294,473158.42,479670.44,0,0
12,TRANSFER,200.33,C1000059,11540.39,11340.06,C1000395,2931.08,3131.41,0,0
12,CASH_OUT,176.27,C1000863,18086.7,17910.43,C1000851,29535.25,29711.52,0,0
12,PAYMENT,2828.49,C1001325,37848.75,35020.26,M2000218,196244.37,199072.86,0,0
12,PAYMENT,584.46,C1001471,2280.32,1695.86,M2000148,407517.04,408101.5,0,0
12,CASH_IN,756.05,M2000012,284524.94,283768.89,C1000598,17450.37,18206.42,0,0
12,PAYMENT,18.74,C1000651,47589.62,47570.88,M2000255,149570.6,149589.34,0,0
13,PAYMENT,81.12,C1000216,8217.67,8136.55,M2000265,471439.71,471520.83,0,0
