id,region,product,amount_cents
8,North,Widget,594
9,North,Gadget,826
10,North,Widget,587
22,North,Widget,834
32,North,Widget,809
47,North,Gadget,745
48,North,Doohickey,805
50,North,Gizmo,548
53,North,Widget,810
70,North,Widget,800
75,North,Gizmo,535
96,North,Gadget,913
98,North,Doohickey,1000
108,North,Gadget,798
118,North,Gizmo,632
150,North,Gadget,813
155,North,Gizmo,675
161,North,Widget,880
170,North,Doohickey,589
180,North,Widget,748
185,North,Gizmo,803
192,North,Widget,952
194,North,Gizmo,592
197,North,Doohickey,638
210,North,Widget,703
211,North,Gadget,665
235,North,Widget,971
237,North,Doohickey,564
242,North,Widget,805
243,North,Gadget,579
245,North,Gizmo,526
289,North,Doohickey,785
290,North,Gadget,798
293,North,Doohickey,830
315,North,Gizmo,728
316,North,Gadget,663
350,North,Gizmo,711
372,North,Gizmo,925
379,North,Gadget,927
383,North,Gizmo,629
384,North,Doohickey,955
406,North,Widget,736
415,North,Gadget,623
417,North,Doohickey,773
419,North,Gadget,959
428,North,Widget,731
429,North,Widget,838
431,North,Doohickey,535
452,North,Gizmo,658
459,North,Widget,605
465,North,Doohickey,856
477,North,Doohickey,725
484,North,Gadget,698
488,North,Doohickey,636
495,North,Gadget,932
502,North,Doohickey,663
505,North,Widget,731
506,North,Doohickey,944
544,North,Gadget,897
581,North,Gadget,572
597,North,Gadget,764
604,North,Gadget,749
610,North,Gizmo,830
612,North,Widget,565
627,North,Doohickey,853
629,North,Gizmo,883
631,North,Gadget,779
635,North,Widget,660
654,North,Gadget,811
674,North,Gadget,541
697,North,Gizmo,928
746,North,Doohickey,542
755,North,Gizmo,531
769,North,Doohickey,994
770,North,Doohickey,707
772,North,Gadget,784
782,North,Doohickey,645
787,North,Doohickey,734
792,North,Gadget,801
801,North,Gizmo,658
825,North,Widget,574
828,North,Gizmo,782
831,North,Gizmo,606
835,North,Gizmo,730
840,North,Gizmo,850
852,North,Doohickey,606
855,North,Doohickey,630
876,North,Gadget,713
884,North,Gizmo,532
892,North,Widget,881
907,North,Widget,686
908,North,Widget,558
921,North,Gadget,903
923,North,Doohickey,642
927,North,Widget,636
956,North,Gizmo,521
958,North,Gadget,822
970,North,Gizmo,876
972,North,Gadget,599
975,North,Gizmo,808
976,North,Widget,684
979,North,Widget,641
982,North,Widget,921
1003,North,Doohickey,825
1013,North,Gadget,550
1021,North,Gizmo,542
1023,North,Gadget,719
1054,North,Gizmo,982
1064,North,Gadget,852
1070,North,Widget,996
1074,North,Gizmo,687
1097,North,Gizmo,810
1105,North,Gadget,988
1113,North,Doohickey,602
1117,North,Widget,790
1125,North,Widget,919
1127,North,Gizmo,585
1142,North,Gizmo,727
1143,North,Gizmo,557
1186,North,Doohickey,761
1206,North,Gadget,743
1209,North,Gizmo,919
1211,North,Doohickey,645
1217,North,Gadget,763
1235,North,Widget,789
1244,North,Gizmo,744
1248,North,Gadget,614
1261,North,Doohickey,557
1278,North,Doohickey,871
1304,North,Doohickey,669
1314,North,Widget,918
1317,North,Gizmo,602
1318,North,Doohickey,568
1321,North,Doohickey,738
1325,North,Gadget,704
1339,North,Gadget,827
1341,North,Doohickey,1000
1342,North,Gizmo,850
1373,North,Widget,730
1376,North,Gizmo,614
1395,North,Gizmo,585
1399,North,Gadget,685
1400,North,Doohickey,752
1404,North,Doohickey,965
1409,North,Widget,553
1410,North,Doohickey,507
1413,North,Widget,826
1429,North,Widget,531
1433,North,Widget,591
1450,North,Gizmo,755
1465,North,Gizmo,675
1467,North,Gadget,561
1468,North,Gizmo,656
1471,North,Gadget,857
1479,North,Widget,745
1485,North,Gadget,645
1520,North,Widget,950
1531,North,Doohickey,813
1532,North,Widget,863
1538,North,Widget,524
1552,North,Widget,794
1562,North,Gadget,748
1565,North,Doohickey,872
1577,North,Widget,959
1585,North,Gizmo,891
1586,North,Widget,813
1605,North,Doohickey,943
1610,North,Gizmo,668
1614,North,Doohickey,557
1617,North,Doohickey,643
1633,North,Gadget,601
1634,North,Gadget,584
1644,North,Gizmo,921
1646,North,Gadget,773
1659,North,Doohickey,795
1660,North,Gadget,734
1687,North,Gizmo,687
1696,North,Gizmo,613
1709,North,Gadget,708
1710,North,Widget,994
1715,North,Gadget,630
1716,North,Widget,826
1751,North,Gizmo,537
1752,North,Gizmo,560
1753,North,Gadget,823
1771,North,Gizmo,539
1772,North,Doohickey,609
1794,North,Doohickey,861
1797,North,Gadget,650
1799,North,Widget,663
1807,North,Widget,723
1811,North,Doohickey,972
1821,North,Gizmo,801
1823,North,Doohickey,559
1829,North,Doohickey,610
1845,North,Gadget,859
1849,North,Doohickey,748
1862,North,Doohickey,546
1863,North,Gizmo,607
1878,North,Gadget,604
1886,North,Gizmo,816
1895,North,Gizmo,976
1904,North,Doohickey,621
1913,North,Doohickey,977
1914,North,Widget,693
1928,North,Widget,844
1945,North,Doohickey,772
1975,North,Gizmo,602
1981,North,Gadget,634
1986,North,Doohickey,908
1994,North,Gadget,897
2006,North,Gizmo,762
2010,North,Doohickey,811
2013,North,Widget,602
2022,North,Widget,662
2028,North,Widget,683
2034,North,Gadget,671
2056,North,Widget,625
2062,North,Gadget,897
2084,North,Gadget,775
2094,North,Gadget,582
2100,North,Widget,704
2111,North,Widget,983
2113,North,Gizmo,556
2122,North,Gizmo,831
2138,North,Gizmo,824
2142,North,Doohickey,585
