id,region,product,amount
1,East,Widget,6.83
2,South,Doohickey,2.77
3,East,Widget,9.03
4,South,Gadget,2.76
5,South,Doohickey,7.83
6,West,Widget,4.36
7,East,Doohickey,3.87
8,North,Widget,5.94
9,North,Gadget,8.26
10,North,Widget,5.87
11,West,Gizmo,5.71
12,East,Widget,7.53
13,North,Gadget,3.58
14,West,Widget,4.18
15,West,Widget,7.13
16,South,Doohickey,2.92
17,West,Gizmo,8.2
18,East,Gadget,3.69
19,South,Gadget,4.35
20,South,Gizmo,4.73
21,South,Gizmo,8.27
22,North,Widget,8.34
23,South,Doohickey,2.81
24,North,Gadget,1.79
25,West,Gadget,4.87
26,South,Widget,6.33
27,East,Gizmo,3.15
28,East,Gadget,3.71
29,West,Widget,8.06
30,East,Gadget,3.74
31,East,Widget,9.09
32,North,Widget,8.09
33,East,Doohickey,4.63
34,South,Doohickey,5.4
35,East,Gizmo,1.26
36,South,Doohickey,0.27
37,North,Gadget,4.84
38,East,Gadget,3.96
39,West,Widget,3.85
40,East,Doohickey,7.7
41,West,Gadget,5.99
42,West,Gizmo,0.77
43,West,Gadget,2.79
44,West,Widget,3.74
45,South,Gadget,3.32
46,South,Doohickey,4.43
47,North,Gadget,7.45
48,North,Doohickey,8.05
49,North,Doohickey,0.93
50,North,Gizmo,5.48
51,South,Gadget,9.67
52,West,Doohickey,3.44
53,North,Widget,8.1
54,East,Gadget,8.35
55,East,Gadget,6.88
56,East,Gadget,1.16
57,East,Widget,8.95
58,East,Gizmo,3.83
59,West,Gizmo,8.34
60,South,Widget,9.62
61,South,Doohickey,5.74
62,South,Doohickey,8.22
63,East,Widget,6.14
64,South,Widget,3.61
65,East,Doohickey,8.55
66,South,Gizmo,7.58
67,East,Gizmo,5.09
68,West,Doohickey,3.76
69,West,Widget,6.97
70,North,Widget,8.0
71,East,Gadget,7.95
72,West,Gizmo,8.5
73,West,Gizmo,1.29
74,East,Widget,5.43
75,North,Gizmo,5.35
76,East,Doohickey,3.29
77,East,Doohickey,3.88
78,North,Gadget,1.03
79,North,Gadget,1.73
80,West,Widget,4.19
81,West,Gadget,3.37
82,South,Widget,0.52
83,East,Doohickey,1.66
84,South,Widget,5.73
85,East,Gizmo,7.11
86,East,Widget,8.51
87,West,Gadget,2.9
88,South,Widget,5.05
89,South,Gadget,9.75
90,East,Gizmo,1.23
91,South,Gadget,5.49
92,East,Doohickey,7.28
93,East,Gadget,8.18
94,West,Doohickey,3.73
95,East,Gizmo,8.4
96,North,Gadget,9.13
97,East,Gizmo,5.86
98,North,Doohickey,10.0
99,East,Gizmo,7.79
100,East,Gizmo,0.75
101,South,Widget,1.76
102,South,Gizmo,6.89
103,East,Doohickey,3.59
104,East,Doohickey,7.67
105,East,Widget,1.77
106,East,Gadget,5.47
107,South,Gizmo,3.39
108,North,Gadget,7.98
109,East,Gadget,3.04
110,East,Gadget,5.66
111,East,Widget,5.35
112,South,Gizmo,1.59
113,East,Doohickey,3.93
114,South,Widget,2.68
115,South,Gadget,4.14
116,East,Doohickey,1.61
117,South,Widget,5.11
118,North,Gizmo,6.32
119,South,Doohickey,6.56
120,West,Gadget,9.86
121,East,Gizmo,9.49
122,South,Gizmo,6.44
123,West,Gizmo,5.9
124,East,Gadget,1.32
125,East,Gadget,1.42
126,East,Widget,0.66
127,East,Gizmo,6.76
128,West,Widget,4.81
129,South,Gizmo,8.08
130,West,Doohickey,2.9
131,East,Gadget,4.22
132,West,Gadget,9.44
133,West,Gizmo,8.21
134,West,Widget,3.45
135,West,Gadget,4.21
136,East,Doohickey,9.33
137,West,Gizmo,6.23
138,North,Gizmo,4.3
139,North,Gizmo,3.93
140,North,Widget,1.0
141,West,Gadget,2.02
142,East,Gadget,5.62
143,North,Gadget,4.17
144,East,Doohickey,1.0
145,East,Gizmo,9.2
146,North,Gizmo,1.79
147,West,Widget,7.42
148,North,Widget,3.19
149,East,Widget,7.28
150,North,Gadget,8.13
151,South,Doohickey,8.49
152,East,Gadget,8.13
153,West,Doohickey,5.5
154,North,Widget,1.55
155,North,Gizmo,6.75
156,East,Gadget,9.2
157,South,Widget,8.83
158,West,Gizmo,1.44
159,South,Gadget,1.48
160,East,Gadget,2.69
161,North,Widget,8.8
162,East,Gadget,8.93
163,North,Gizmo,4.57
164,South,Doohickey,1.55
165,East,Gizmo,4.62
166,East,Doohickey,5.73
167,East,Doohickey,7.08
168,East,Doohickey,5.19
169,East,Doohickey,2.48
170,North,Doohickey,5.89
171,East,Widget,8.79
172,East,Gizmo,9.77
173,North,Widget,3.3
174,West,Gizmo,6.65
175,South,Gizmo,2.33
176,West,Doohickey,6.49
177,South,Gadget,1.72
178,South,Doohickey,6.5
179,East,Doohickey,6.04
180,North,Widget,7.48
181,East,Doohickey,1.97
182,North,Widget,1.89
183,South,Gizmo,2.07
184,East,Doohickey,1.45
185,North,Gizmo,8.04
186,South,Widget,5.65
187,South,Gadget,8.95
188,North,Gizmo,3.97
189,South,Gadget,8.92
190,South,Gadget,3.33
191,South,Gadget,0.04
192,North,Widget,9.53
193,South,Doohickey,1.46
194,North,Gizmo,5.92
195,South,Gizmo,2.22
196,East,Widget,5.1
197,North,Doohickey,6.38
198,East,Gadget,9.83
199,West,Doohickey,1.15
200,East,Gizmo,7.39
201,East,Doohickey,5.18
202,South,Gizmo,7.64
203,East,Gizmo,2.42
204,East,Widget,8.68
205,West,Widget,8.37
206,South,Doohickey,5.73
207,West,Gizmo,0.08
208,East,Doohickey,8.23
209,West,Gadget,7.81
210,North,Widget,7.03
211,North,Gadget,6.65
212,West,Gadget,9.21
213,East,Doohickey,8.57
214,South,Gizmo,0.06
215,West,Gadget,1.25
216,East,Doohickey,3.19
217,East,Gizmo,8.09
218,South,Gadget,7.62
219,West,Doohickey,4.95
220,South,Widget,7.09
221,North,Doohickey,3.15
222,South,Gizmo,1.25
223,East,Gadget,4.94
224,South,Gadget,9.64
225,South,Widget,7.21
226,South,Doohickey,9.71
227,East,Gizmo,1.53
228,South,Gizmo,7.22
229,North,Widget,3.8
230,North,Gadget,2.71
231,East,Gadget,4.79
232,West,Gizmo,1.27
233,South,Doohickey,3.61
234,East,Gadget,3.14
235,North,Widget,9.71
236,East,Doohickey,1.96
237,North,Doohickey,5.64
238,South,Gizmo,3.94
239,East,Widget,1.6
240,West,Gadget,5.3
241,South,Widget,5.39
242,North,Widget,8.05
243,North,Gadget,5.79
244,South,Doohickey,3.62
245,North,Gizmo,5.26
246,East,Gizmo,2.31
247,West,Gizmo,8.32
248,East,Gadget,1.39
249,West,Gadget,5.2
250,East,Gizmo,8.97
251,East,Gizmo,6.55
252,East,Doohickey,1.27
253,West,Doohickey,3.78
254,South,Doohickey,0.58
255,East,Widget,1.46
256,South,Gizmo,7.6
257,South,Gizmo,2.69
258,West,Widget,6.97
259,East,Doohickey,5.66
260,East,Widget,6.98
261,East,Doohickey,9.92
262,West,Widget,5.02
263,West,Doohickey,3.69
264,East,Gadget,8.23
265,East,Gadget,9.49
266,North,Doohickey,5.0
267,East,Gizmo,3.81
268,East,Widget,6.49
269,East,Gizmo,8.15
270,South,Gadget,9.19
271,South,Gizmo,2.77
272,East,Gizmo,8.56
273,North,Widget,1.76
274,East,Gadget,1.41
275,West,Gadget,7.7
276,East,Widget,9.33
277,East,Gizmo,6.88
278,East,Widget,8.43
279,West,Doohickey,1.77
280,East,Gadget,1.5
281,West,Gadget,5.24
282,South,Doohickey,6.63
283,North,Gadget,2.68
284,West,Gizmo,3.25
285,East,Gadget,1.63
286,South,Gizmo,0.01
287,West,Widget,5.56
288,North,Doohickey,1.19
289,North,Doohickey,7.85
290,North,Gadget,7.98
291,South,Doohickey,4.38
292,West,Widget,8.2
293,North,Doohickey,8.3
294,West,Gizmo,3.86
295,South,Widget,8.6
296,East,Doohickey,8.5
297,West,Doohickey,4.84
298,East,Doohickey,7.68
299,West,Gizmo,3.93
300,South,Gizmo,4.59
301,South,Widget,1.46
302,East,Doohickey,9.09
303,West,Doohickey,9.04
304,North,Gizmo,3.37
305,South,Widget,1.48
306,West,Gizmo,9.05
307,West,Gizmo,2.13
308,North,Gizmo,1.06
309,West,Doohickey,2.69
310,North,Doohickey,1.09
311,East,Widget,4.08
312,East,Gadget,9.23
313,East,Widget,8.29
314,South,Doohickey,5.79
315,North,Gizmo,7.28
316,North,Gadget,6.63
317,South,Gizmo,3.93
318,West,Gizmo,4.29
319,East,Gadget,1.61
320,South,Widget,4.13
321,West,Widget,3.77
322,West,Doohickey,9.48
323,East,Doohickey,1.89
324,South,Gizmo,2.27
325,South,Widget,0.86
326,West,Doohickey,5.66
327,South,Doohickey,3.18
328,West,Gadget,3.96
329,West,Doohickey,9.72
330,East,Gadget,0.29
331,East,Widget,3.16
332,South,Gizmo,6.84
333,East,Doohickey,1.42
334,East,Gadget,3.78
335,East,Gizmo,3.21
336,East,Gizmo,2.5
337,West,Widget,4.11
338,East,Widget,5.73
339,North,Gadget,2.18
340,North,Doohickey,2.54
341,North,Doohickey,4.23
342,West,Gizmo,8.65
343,South,Gizmo,9.55
344,West,Doohickey,3.36
345,East,Gizmo,6.38
346,West,Gadget,2.67
347,West,Gadget,7.05
348,South,Doohickey,4.68
349,North,Doohickey,2.11
350,North,Gizmo,7.11
351,South,Doohickey,0.28
352,West,Gizmo,8.89
353,North,Widget,0.45
354,East,Gadget,7.49
355,East,Doohickey,4.63
356,East,Widget,0.92
357,East,Gizmo,5.7
358,South,Gizmo,8.94
359,East,Widget,1.8
360,South,Doohickey,1.01
361,West,Doohickey,0.11
362,South,Gizmo,9.4
363,East,Gizmo,6.26
364,East,Widget,4.89
365,East,Widget,2.01
366,East,Gadget,8.68
367,East,Gizmo,3.22
368,West,Doohickey,8.87
369,West,Gizmo,2.05
370,West,Doohickey,1.88
371,West,Widget,2.08
372,North,Gizmo,9.25
373,North,Widget,3.07
374,South,Gizmo,8.0
375,South,Widget,2.09
376,East,Doohickey,8.55
377,South,Gizmo,1.36
378,South,Gizmo,7.38
379,North,Gadget,9.28
380,East,Gizmo,3.15
381,West,Gizmo,9.64
382,South,Gizmo,3.84
383,North,Gizmo,6.29
384,North,Doohickey,9.55
385,West,Widget,4.67
386,East,Doohickey,0.07
387,East,Widget,9.09
388,West,Gadget,9.11
389,West,Gizmo,4.87
390,South,Gizmo,7.16
391,East,Doohickey,7.36
392,East,Widget,3.28
393,West,Doohickey,5.68
394,South,Gadget,1.84
395,West,Gadget,7.53
396,North,Doohickey,4.3
397,West,Doohickey,3.12
398,South,Gadget,7.35
399,East,Doohickey,0.03
400,East,Doohickey,8.4
401,South,Gadget,8.37
402,West,Widget,6.42
403,South,Doohickey,5.02
404,North,Gadget,1.28
405,South,Gizmo,8.71
406,North,Widget,7.36
407,South,Gadget,3.02
408,East,Gizmo,8.17
409,West,Gadget,2.68
410,South,Widget,6.71
411,South,Gizmo,9.7
412,South,Gizmo,3.08
413,South,Gizmo,9.8
414,North,Doohickey,4.43
415,North,Gadget,6.23
416,East,Doohickey,4.58
417,North,Doohickey,7.73
418,West,Doohickey,0.17
419,North,Gadget,9.59
420,South,Gadget,7.75
421,West,Widget,2.21
422,North,Gadget,1.49
423,South,Doohickey,9.11
424,North,Doohickey,4.53
425,East,Widget,7.59
426,East,Widget,7.54
427,East,Doohickey,8.55
428,North,Widget,7.31
429,North,Widget,8.38
430,North,Doohickey,4.28
431,North,Doohickey,5.35
432,South,Gizmo,2.8
433,East,Gadget,4.6
434,East,Doohickey,9.55
435,South,Gadget,0.95
436,West,Widget,6.11
437,South,Widget,6.31
438,East,Doohickey,9.09
439,South,Gizmo,8.95
440,South,Doohickey,7.05
441,West,Widget,5.2
442,East,Gadget,6.92
443,South,Gadget,0.23
444,East,Doohickey,3.62
445,South,Widget,3.54
446,South,Gizmo,6.13
447,West,Widget,6.43
448,East,Gizmo,9.65
449,West,Doohickey,3.34
450,East,Gizmo,8.45
451,South,Widget,6.18
452,North,Gizmo,6.58
453,North,Widget,1.18
454,West,Gadget,3.67
455,North,Widget,0.42
456,East,Gadget,1.42
457,South,Doohickey,6.37
458,North,Gadget,2.33
459,North,Widget,6.05
460,South,Gizmo,5.66
461,West,Widget,3.0
462,West,Gadget,7.72
463,East,Gadget,9.53
464,South,Doohickey,2.41
465,North,Doohickey,8.56
466,South,Gadget,5.57
467,West,Gizmo,4.41
468,East,Gizmo,1.44
469,East,Gadget,4.55
470,North,Widget,2.48
471,South,Doohickey,9.52
472,North,Gadget,4.39
