title,artist,year,genre,description
Rolling in the Deep,Adele,2010,Pop,A soulful song with powerful vocals about heartbreak betrayal and the burning anger of a relationship destroyed by a partner who threw away something rare and beautiful
Firework,Katy Perry,2010,Pop,An uplifting anthem about self-empowerment finding your inner light and showing the world your true colors after feeling like a plastic bag drifting through the wind
Love the Way You Lie,Eminem,2010,Hip-Hop,An intense ballad featuring Rihanna about a toxic destructive relationship marked by cycles of violence passion and the addictive pull of love that hurts
Bad Romance,Lady Gaga,2010,Pop,A dark theatrical song about obsessive love wanting all the ugly parts of someone and craving a relationship that is dangerous twisted and revenge-filled
Pumped Up Kicks,Foster the People,2011,Indie,A deceptively breezy indie pop song with dark lyrics about a troubled outcast contemplating violence beneath a catchy whistled hook
Someone Like You,Adele,2011,Pop,A heartbreaking piano ballad about an ex-lover moving on getting married and the painful resignation of wishing them well while wishing it was you instead
Rolling Stone,The Weeknd,2011,R&B,A moody atmospheric song about restlessness emotional detachment and the lonely lifestyle of someone who refuses to be tied down
Party Rock Anthem,LMFAO,2011,Electronic,A high-energy electronic dance track about partying every night shuffling on the dance floor and getting everybody in the club to lose their minds
Somebody That I Used to Know,Gotye,2011,Indie,A song about a painful breakup the emotional erasure of being cut out by an ex and the bitter sting of becoming a stranger to someone you loved
We Found Love,Rihanna,2011,Pop,An electronic anthem featuring Calvin Harris about finding intense passionate love in a hopeless place and the all-consuming nature of romance against the odds
Call Me Maybe,Carly Rae Jepsen,2012,Pop,A bubbly catchy song about meeting someone new having an instant crush and nervously hoping they will call after exchanging numbers
Thrift Shop,Macklemore,2012,Hip-Hop,A fun song with Ryan Lewis about embracing secondhand fashion celebrating cheap finds and rejecting overpriced designer brands with humor and swagger
Some Nights,fun.,2012,Indie,An anthemic indie rock song about existential questioning identity crisis and trying to figure out what you stand for with marching drums and soaring vocals
Stay,Rihanna,2013,Pop,A stripped-down piano ballad with Mikky Ekko about the desperate ache of wanting someone to stay in a relationship that feels unsteady and uncertain
Royals,Lorde,2013,Indie,A minimalist song about rejecting the materialistic excess of mainstream pop culture and finding pride in a quieter unglamorous life far from luxury
Get Lucky,Daft Punk,2013,Electronic,A smooth disco-funk song with Pharrell Williams about staying up all night to celebrate love and a romantic encounter that feels like destiny
Blurred Lines,Robin Thicke,2013,Pop,A controversial funk-pop song with Pharrell and T.I. about flirtation desire and the ambiguous tension between wanting someone and respecting boundaries
Happy,Pharrell Williams,2013,Pop,An irresistibly upbeat song about pure joy contagious happiness and feeling like a room without a roof when nothing can bring you down
Wrecking Ball,Miley Cyrus,2013,Pop,A powerful ballad about emotional devastation after a breakup the regret of loving too hard and crashing through walls only to be left in ruins
The Monster,Eminem,2013,Hip-Hop,A song featuring Rihanna about wrestling with inner demons fame mental illness and the monster under the bed that represents anxiety and self-destruction
All About That Bass,Meghan Trainor,2014,Pop,A retro doo-wop song about body positivity self-love and embracing curves while rejecting impossible beauty standards
Take Me to Church,Hozier,2014,Indie,A haunting indie soul song about love as worship critiquing institutional religion and finding sacred meaning in human connection and physical love
Shake It Off,Taylor Swift,2014,Pop,An upbeat song about ignoring haters letting criticism roll off your back and dancing through the noise of people who try to bring you down
Stay With Me,Sam Smith,2014,Pop,A soulful gospel-tinged ballad about the loneliness of a one-night stand and the desperate plea to not be left alone after a hollow encounter
Uptown Funk,Mark Ronson,2014,Pop,A high-energy funk-pop throwback featuring Bruno Mars about confidence swagger looking sharp and bringing the party wherever you go
Hotline Bling,Drake,2015,Hip-Hop,A melodic song about an ex who used to call him on his cell phone late at night and how she has changed since their relationship ended
Hello,Adele,2015,Pop,A powerful piano ballad about reaching out to a former lover after years apart trying to apologize and finding that time has put a wall between you
Bad Blood,Taylor Swift,2015,Pop,A confrontational song about a former friend who became an enemy the betrayal of broken loyalty and the bitter feud that followed
Sorry,Justin Bieber,2015,Pop,A tropical-house song about pleading for forgiveness after making mistakes in a relationship and asking is it too late now to say sorry
Cant Feel My Face,The Weeknd,2015,R&B,A slick danceable song about an addictive intoxicating love that feels dangerous and consuming compared to a dangerous substance
Lean On,Major Lazer,2015,Electronic,An electronic dance song with DJ Snake and MØ about finding emotional support in love offering yourself as a shoulder to lean on through hard times
Formation,Beyonce,2016,R&B,A fierce song celebrating Black Southern heritage feminist power cultural pride and rallying women into formation as a statement of strength
Work,Rihanna,2016,Pop,A dancehall-influenced song featuring Drake about the push and pull of a complicated relationship working through difficulties and missed connections
Closer,The Chainsmokers,2016,Electronic,An electronic pop song featuring Halsey about reuniting with an ex in a hotel room nostalgic about young love and pulling each other closer one more time
One Dance,Drake,2016,Hip-Hop,A smooth Afrobeats-influenced song featuring Wizkid and Kyla about asking a woman for one last dance to keep the night going and savor a romantic moment
7 Years,Lukas Graham,2016,Pop,An emotional ballad about reflecting on different stages of life from age seven through old age and the wisdom hopes and regrets that come with each year
Lemonade,Beyonce,2016,R&B,A powerful track about heartbreak betrayal female resilience and turning the pain of infidelity into empowerment and reclaimed strength
Despacito,Luis Fonsi,2017,Pop,A sensual reggaeton song featuring Daddy Yankee about taking things slowly with a romantic partner and savoring every moment of attraction and connection
Shape of You,Ed Sheeran,2017,Pop,A tropical pop song about meeting someone at a bar getting drawn in by physical attraction and falling in love with the shape of them on the dance floor
HUMBLE.,Kendrick Lamar,2017,Hip-Hop,A hard-hitting track demanding humility from rivals calling out fakeness in the industry and asserting his own dominance with raw confidence
Believer,Imagine Dragons,2017,Rock,A thunderous rock anthem about turning pain into power using struggles as fuel and becoming a believer through the hardships that shaped you
Mi Gente,J Balvin,2017,Pop,A Latin pop crossover hit with Willy William about uniting people through music dancing without borders and celebrating the shared love of the beat
Perfect,Ed Sheeran,2017,Pop,A romantic acoustic ballad about finding the perfect partner dancing in the dark and pledging eternal love to someone who feels meant to be
Havana,Camila Cabello,2017,Pop,A Latin-flavored song featuring Young Thug about a girl whose heart is in Havana remembering a passionate romance with a boy from East Atlanta
God's Plan,Drake,2018,Hip-Hop,A reflective song about gratitude success and trusting the bigger plan despite haters and obstacles along the way
Shallow,Lady Gaga,2018,Pop,A powerful duet with Bradley Cooper from A Star is Born about diving into deep emotional waters and rejecting the shallow surface of life and love
Sunflower,Post Malone,2018,Hip-Hop,A melodic song with Swae Lee from Spider-Man Into the Spider-Verse about a complicated romance where she stays despite him being not good enough
This Is America,Childish Gambino,2018,Hip-Hop,A powerful provocative song confronting racism gun violence and the contradictions of American culture through stark imagery
High Hopes,Panic at the Disco,2018,Rock,An upbeat brass-driven rock song about clinging to ambitious dreams refusing to give up and rising to the top despite all odds
Thank U Next,Ariana Grande,2018,Pop,An empowering song about gratitude for past relationships personal growth from heartbreak and moving on with self-love
Old Town Road,Lil Nas X,2019,Country,A country-trap crossover song featuring Billy Ray Cyrus about taking horses to the old town road riding till you cant no more and rejecting hate with confidence
Bad Guy,Billie Eilish,2019,Pop,A dark minimalist song with a bouncy bass about playing the role of the villain in a relationship being the tough one and undermining expectations
Senorita,Shawn Mendes,2019,Pop,A sultry Latin-influenced duet with Camila Cabello about a passionate romance that the singer cannot resist no matter how dangerous it feels
Sucker,Jonas Brothers,2019,Pop,An upbeat comeback song about being completely smitten with a partner doing anything for them and admitting youre a sucker for the love
Truth Hurts,Lizzo,2019,Pop,A confident empowering song about self-love walking away from a man who didnt deserve her and celebrating being a hundred percent that bitch
Memories,Maroon 5,2019,Pop,A tender ballad about raising a glass to absent loved ones holding onto memories of those whove passed and the bittersweet pain of looking back
Watermelon Sugar,Harry Styles,2019,Pop,A sun-soaked retro song about the sweet euphoric taste of summer love and craving the simple pleasures of being with someone you adore
Blinding Lights,The Weeknd,2020,Pop,A synth-driven retro song about driving through the city at night chasing a lost love and the desperate blinding emotions of nighttime longing
Dynamite,BTS,2020,Pop,A disco-funk song about lighting up the night feeling unstoppable and bringing energy joy and dance to a world that needed brightness
WAP,Cardi B,2020,Hip-Hop,An unapologetically explicit song featuring Megan Thee Stallion about female sexuality confidence and demanding what you want from a partner
